,codebook_dl,num_symbols,test_rl_auc,test_rl_regret,test_auc_std,test_regret_std,test_regrets,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost
code_book4_6.npy,27967,84,19.082536020645044,373.33744727173195,3.7406994747311337,3.743490281111793,"[375.577183703639, 367.6257029469728, 371.63198787311387, 373.67820719731526, 375.3413128292092, 368.44433104698, 379.8120662853949, 374.5887862912303]",17.228,3.72,21.152,4356.152,82.898,30.044265593561367,6.325955734406438,33.51307847082495,4368.513078470825,161.90140845070422
code_book3_7.npy,29321,106,17.13461119670975,375.28855017612204,2.583037875511641,2.585711431128245,"[373.795163736649, 378.41605749246327, 375.0394140410895, 370.4614891224721, 378.5191495202847, 374.7523422145535, 377.5477744405912, 373.777010840873]",18.024,3.784,21.52,6422.52,76.458,32.72837022132797,6.313883299798793,34.99396378269618,6435.9939637826965,135.66800804828975
code_book2_8.npy,32153,144,11.327057585033952,381.105060831955,2.0351585635305898,2.039571883508214,"[383.2144317661398, 381.67932463211525, 380.0215585400856, 383.1303345385925, 378.5843205079729, 383.0797282938163, 377.536933912971, 381.5938544639462]",19.692,3.984,23.84,10312.84,68.354,36.25754527162978,6.52112676056338,38.100603621730386,10327.10060362173,127.27565392354124
code_book4_5_6.npy,33503,117,23.89547098893661,368.52116736020605,3.3217348383626466,3.3226570553229697,"[367.20748501310646, 365.78137591982875, 366.9847295140954, 366.03046620674354, 368.401647635283, 373.80692826706434, 365.60093308547084, 374.3557732400559]",17.096,3.758,22.32,5949.32,70.19,29.798792756539235,6.358148893360161,35.70221327967807,5962.702213279678,128.40040241448693
code_book3_5_7.npy,34889,135,21.382804611747726,371.03638242800605,3.3697305709461305,3.373440296525602,"[369.46439948255977, 372.96823447072387, 373.8780504626012, 370.99535483091734, 371.38049152364874, 371.17608614008736, 363.29888604095424, 375.1295564725562]",16.298,3.89,22.768,7783.768,80.912,29.34004024144869,6.631790744466801,36.716297786720325,7797.71629778672,143.6036217303823
code_book2_6_7.npy,35063,149,14.637979538908201,377.79043004580456,3.4474120407043545,3.4508805948144516,"[376.59353592575224, 376.5362077678268, 378.0007050471353, 373.99138180507566, 381.7979968266244, 382.78475167837826, 372.2847912688927, 380.3340700467509]",16.848,3.888,23.184,8950.184,70.556,31.16297786720322,6.51307847082495,37.714285714285715,8964.714285714286,139.16700201207243
code_book1_9.npy,35416,186,7.103042080291599,385.33817026268366,0.3778616200600035,0.3780020895677872,"[385.38252626307576, 385.00245648803434, 386.13664917995845, 385.2664025699465, 385.3555150505583, 385.4899594260601, 384.73621756944556, 385.3356355543899]",23.87,4.83,24.512,15024.512,76.348,44.50905432595574,7.6156941649899395,40.354124748490946,15040.354124748492,137.88732394366198
code_book2_5_8.npy,36873,162,18.306251259655085,374.1180082222661,0.8672270790507477,0.8686139779836555,"[375.8920193753694, 373.1802221535468, 373.425113249388, 374.4240693100387, 374.66872684898203, 374.0566601016776, 373.0621567992863, 374.23509793984]",15.76,3.878,22.192,10727.192,73.206,29.287726358148895,6.597585513078471,36.49094567404426,10741.490945674044,141.12072434607646
code_book1_6_8.npy,37290,174,10.215570474183401,382.2200070345299,1.29063412975548,1.2936804008901626,"[380.9390638666432, 379.82019776133524, 382.6632868976626, 381.77485571694814, 382.21871911847745, 382.9545218860125, 384.28856164934996, 383.10084937981003]",17.846,4.308,23.184,11673.184,76.888,32.60764587525151,6.716297786720322,36.796780684104625,11686.796780684104,141.19315895372233
code_book3_4_8.npy,37510,163,22.96792662676302,369.45050307247664,2.9124027333118576,2.915203230610969,"[366.3828787850432, 370.8386393509275, 364.3400586287943, 367.40696628687783, 373.6882359543673, 371.89484580601, 370.2917705062331, 370.76062926155953]",16.052,4.03,23.12,10717.12,81.444,28.462776659959758,6.921529175050302,36.587525150905435,10730.587525150906,158.0020120724346
code_book2_4_9.npy,39570,184,16.532677193697168,375.895893517094,4.313077096794804,4.31844383518558,"[378.4912931769496, 375.8206338144678, 369.80473287476013, 383.3498368886719, 371.50764612022084, 380.0906225699033, 372.3007535659251, 375.8016291258533]",15.77,4.082,23.584,13737.584,81.072,28.76861167002012,7.056338028169014,38.647887323943664,13752.647887323943,161.61368209255534
code_book1_5_9.npy,40383,202,10.330787973682007,382.10572551403163,1.9146007800608087,1.916316922732416,"[382.2723299565316, 384.5116085563569, 381.4399197674717, 380.83617703483765, 382.93075212509837, 384.3931335608357, 378.1615758028978, 382.30030730822295]",16.692,4.14,22.384,15157.384,81.154,30.661971830985916,6.855130784708249,36.6841046277666,15171.684104627766,153.27766599597587
code_book3_4_6_7.npy,40492,180,24.224065570074814,368.1912351729101,2.6264729064626615,2.6291151833074236,"[368.1401286737373, 363.72604417888454, 371.5567027686161, 365.88341508180133, 371.91886541245424, 367.69229235417765, 366.8004919719965, 369.81194094161333]",15.506,4.036,23.824,10307.824,72.442,27.50301810865191,6.877263581488934,37.714285714285715,10321.714285714286,140.5472837022133
code_book2_5_6_7.npy,40843,188,15.448143172993555,376.97663682775794,1.4572804991429626,1.459157462119008,"[374.01701975915944, 376.5881444431394, 376.39517320196376, 377.50307220515117, 378.62606625134555, 379.10882405229853, 376.49656460758877, 377.07823010141726]",15.744,3.958,23.968,11058.968,69.904,29.714285714285715,6.889336016096579,40.2897384305835,11075.289738430583,140.00804828973844
code_book3_4_5_8.npy,41926,190,26.587284779453444,365.8266915215777,1.8480274639143563,1.8510954884381352,"[365.2532625979306, 367.5328696604784, 367.8108523653388, 367.8826960551674, 361.91952579137876, 365.0332001713644, 365.56376308900195, 365.6173624419612]",15.156,3.802,23.168,11821.168,67.024,27.150905432595575,6.609657947686117,37.7625754527163,11835.762575452716,131.59557344064388
code_book1_5_6_8.npy,42144,205,11.353689548617425,381.08181414840885,2.649701407050382,2.6513092748318545,"[382.2841184715537, 386.6909351432091, 381.61269266283625, 376.88620177155224, 381.71726367744134, 379.71315575071685, 380.23094271936293, 379.51920299059856]",16.468,4.226,24.272,13208.272,74.314,30.37022132796781,6.959758551307847,39.14688128772636,13223.146881287727,140.96579476861166
code_book2_4_6_8.npy,42434,202,16.518384381680754,375.9070407707927,2.558557508754848,2.5624610350319665,"[379.7455831911148, 374.49282809562135, 378.618775378896, 376.6399398032995, 371.75512908335287, 373.0520104720722, 377.44234657043756, 375.5097135715475]",15.552,4.044,24.672,12962.672,72.548,28.056338028169016,6.82092555331992,39.420523138833,12977.420523138833,141.70623742454728
code_book2_3_7_8.npy,42440,204,10.876026125131146,381.5514617688917,5.236441478391835,5.2427731171945355,"[385.584516060723, 381.5675119636916, 389.1888695937929, 382.3062786742869, 376.9606332430691, 377.7545200242855, 386.63170998171034, 372.4176546095747]",15.77,4.38,25.296,13513.296,84.944,28.832997987927566,7.563380281690141,41.6579476861167,13529.657947686117,170.66197183098592
code_book1_4_7_8.npy,43927,226,10.891917952941613,381.540134296969,3.1233544840913567,3.1257131809848007,"[386.66511176493054, 379.6590535199406, 379.78011907265034, 383.1831054031832, 378.24822442692926, 378.24075569278403, 385.995959112845, 380.5487453824888]",15.544,4.144,23.6,15134.6,81.336,28.28370221327968,6.917505030181086,38.3420523138833,15149.342052313883,161.102615694165
code_book2_4_5_9.npy,44917,215,15.148000833521639,377.28109675298316,3.3180751598002294,3.3201411550450985,"[379.6075113279143, 376.97204945812246, 376.6182866980371, 378.1324726690823, 375.30648032002705, 383.3795425567091, 370.9231192579398, 377.309311736033]",15.238,4.006,24.688,15213.688,72.086,27.822937625754527,7.020120724346077,40.370221327967805,15229.370221327968,144.03420523138834
code_book2_3_6_9.npy,45070,224,11.744212200258486,380.6858569640369,2.3056921023823516,2.305754060131151,"[382.16924542705954, 375.42049321228495, 382.66973242033623, 382.3974698177647, 381.37784884410803, 380.8942403359844, 378.71547851850346, 381.8423471362536]",15.228,4.35,25.04,15983.04,85.814,27.925553319919516,7.565392354124748,40.83702213279678,15998.837022132797,175.48893360160966
code_book1_3_7_9.npy,45821,244,8.720113162335629,383.71296884381525,2.2437612122783883,2.2480349754445457,"[380.15619702473543, 381.43575154627047, 385.3784413692083, 385.46313322612696, 381.00464466500733, 385.5224319123919, 385.9394412264944, 384.80370978028697]",16.842,4.142,24.336,17765.336,75.162,31.287726358148895,6.989939637826962,40.06438631790744,17781.064386317907,139.8692152917505
